id,orig_street,orig_suburb,orig_state,orig_postcode,orig_country,dest_street,dest_suburb,dest_state,dest_postcode,dest_country,mode,transit_mode,transit_routing_preference,avoid,year,month,day,hour,minute,time_zone,traffic_model
1,,ACACIA RIDGE,QLD,4110,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
2,,ACACIA RIDGE DC,QLD,4110,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
3,,ALBANY CREEK,QLD,4035,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
4,,ALBERTON,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
5,,ALBION,QLD,4010,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
6,,ALDERLEY,QLD,4051,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
7,,ALEXANDRA HILLS,QLD,4161,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
8,,ALGESTER,QLD,4115,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
9,,AMITY POINT,QLD,4183,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
10,,ANNERLEY,QLD,4103,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
11,,ANSTEAD,QLD,4070,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
12,,ARANA HILLS,QLD,4054,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
13,,ARCHERFIELD,QLD,4108,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
14,,ARCHERFIELD BC,QLD,4108,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
15,,ARMSTRONG CREEK,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
16,,ASCOT,QLD,4007,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
17,,ASHGROVE,QLD,4060,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
18,,ASHGROVE WEST,QLD,4060,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
19,,ASPLEY,QLD,4034,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
20,,AUCHENFLOWER,QLD,4066,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
21,,BAHRS SCRUB,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
22,,BALD HILLS,QLD,4036,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
23,,BALMORAL,QLD,4171,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
24,,BANKSIA BEACH,QLD,4507,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
25,,BANNOCKBURN,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
26,,BANYO,QLD,4014,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
27,,BARDON,QLD,4065,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
28,,BEACHMERE,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
29,,BEENLEIGH,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
30,,BEERBURRUM,QLD,4517,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
31,,BEERWAH,QLD,4519,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
32,,BELIVAH,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
33,,BELLARA,QLD,4507,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
34,,BELLBOWRIE,QLD,4070,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
35,,BELLMERE,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
36,,BELLTHORPE,QLD,4514,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
37,,BELMONT,QLD,4153,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
38,,BERRINBA,QLD,4117,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
39,,BETHANIA,QLD,4205,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
40,,BIRKDALE,QLD,4159,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
41,,BONGAREE,QLD,4507,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
42,,BOONDALL,QLD,4034,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
43,,BORONIA HEIGHTS,QLD,4124,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
44,,BOWEN HILLS,QLD,4006,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
45,,BRACALBA,QLD,4512,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
46,,BRACKEN RIDGE,QLD,4017,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
47,,BRAY PARK,QLD,4500,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
48,,BRENDALE,QLD,4500,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
49,,BRIBIE ISLAND,QLD,4507,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
50,,BRIDGEMAN DOWNS,QLD,4035,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
51,,BRIGHTON,QLD,4017,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
52,,BRIGHTON EVENTIDE,QLD,4017,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
53,,BRISBANE,QLD,4000,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
54,,BRISBANE,QLD,4001,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
55,,BRISBANE,QLD,9000,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
56,,BRISBANE AIRPORT,QLD,4008,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
57,,BRISBANE CITY,QLD,4000,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
58,,BROOKFIELD,QLD,4069,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
59,,BROOKSIDE CENTRE,QLD,4053,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
60,,BROWNS PLAINS,QLD,4118,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
61,,BUCCAN,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
62,,BULIMBA,QLD,4171,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
63,,BULWER,QLD,4025,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
64,,BUNYA,QLD,4055,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
65,,BURANDA,QLD,4102,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
66,,BURBANK,QLD,4156,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
67,,BURPENGARY,QLD,4505,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
68,,BURPENGARY DC,QLD,4505,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
69,,CABOOLTURE,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
70,,CABOOLTURE SOUTH,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
71,,CALAMVALE,QLD,4116,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
72,,CAMP HILL,QLD,4152,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
73,,CAMP MOUNTAIN,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
74,,CAMPBELLS POCKET,QLD,4521,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
75,,CANNON HILL,QLD,4170,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
76,,CAPALABA,QLD,4157,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
77,,CAPALABA DC,QLD,4157,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
78,,CAPALABA WEST,QLD,4157,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
79,,CARBROOK,QLD,4130,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
80,,CARINA,QLD,4152,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2021,9,15,7,0,10,best_guess
