id,orig_street,orig_suburb,orig_state,orig_postcode,orig_country,dest_street,dest_suburb,dest_state,dest_postcode,dest_country,mode,transit_mode,transit_routing_preference,avoid,year,month,day,hour,minute,time_zone,traffic_model,orig_output,dest_output,duration (minutes),distance (km),average_speed (km/hr)
1,,ACACIA RIDGE,QLD,4110,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Acacia Ridge QLD 4110, Australia","Brisbane City QLD 4000, Australia",22.933333333333334,16.31,42.67151162790697
2,,ACACIA RIDGE DC,QLD,4110,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"6b/28 Elizabeth St, Acacia Ridge QLD 4110, Australia","Brisbane City QLD 4000, Australia",22.283333333333335,17.78,47.874345549738216
3,,ALBANY CREEK,QLD,4035,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Albany Creek QLD 4035, Australia","Brisbane City QLD 4000, Australia",27.866666666666667,17.17,36.96889952153111
4,,ALBERTON,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Alberton QLD 4207, Australia","Brisbane City QLD 4000, Australia",35.88333333333333,44.275,74.0315838365072
5,,ALBION,QLD,4010,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Albion QLD 4010, Australia","Brisbane City QLD 4000, Australia",12.233333333333333,8.057,39.516621253406
6,,ALDERLEY,QLD,4051,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Alderley QLD 4051, Australia","Brisbane City QLD 4000, Australia",13.8,7.219,31.38695652173913
7,,ALEXANDRA HILLS,QLD,4161,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Alexandra Hills QLD 4161, Australia","Brisbane City QLD 4000, Australia",32.06666666666667,25.013,46.8018711018711
8,,ALGESTER,QLD,4115,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Algester QLD 4115, Australia","Brisbane City QLD 4000, Australia",26.1,20.442,46.99310344827586
9,,AMITY POINT,QLD,4183,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Amity Point QLD 4183, Australia","Brisbane City QLD 4000, Australia",152.08333333333334,64.984,25.63752328767123
10,,ANNERLEY,QLD,4103,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Annerley QLD 4103, Australia","Brisbane City QLD 4000, Australia",9.6,6.095,38.09375
11,,ANSTEAD,QLD,4070,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Anstead QLD 4070, Australia","Brisbane City QLD 4000, Australia",32.65,24.963,45.873813169984686
12,,ARANA HILLS,QLD,4054,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Arana Hills QLD 4054, Australia","Brisbane City QLD 4000, Australia",22.7,12.638,33.40440528634362
13,,ARCHERFIELD,QLD,4108,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Archerfield QLD 4108, Australia","Brisbane City QLD 4000, Australia",19.216666666666665,15.381,48.02393755420642
14,,ARCHERFIELD BC,QLD,4108,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"612 Boundary Rd, Archerfield QLD 4108, Australia","Brisbane City QLD 4000, Australia",20.083333333333332,15.555,46.471369294605815
15,,ARMSTRONG CREEK,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Armstrong Creek QLD 4520, Australia","Brisbane City QLD 4000, Australia",49.6,43.395,52.49395161290323
16,,ASCOT,QLD,4007,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Ascot QLD 4007, Australia","Brisbane City QLD 4000, Australia",15.816666666666666,10.098,38.30642781875659
17,,ASHGROVE,QLD,4060,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Ashgrove QLD 4060, Australia","Brisbane City QLD 4000, Australia",15.866666666666667,7.371,27.87352941176471
18,,ASHGROVE WEST,QLD,4060,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Ashgrove QLD 4060, Australia","Brisbane City QLD 4000, Australia",11.666666666666666,5.35,27.514285714285712
19,,ASPLEY,QLD,4034,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Aspley QLD 4034, Australia","Brisbane City QLD 4000, Australia",21.683333333333334,15.703,43.45180630284397
20,,AUCHENFLOWER,QLD,4066,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Auchenflower QLD 4066, Australia","Brisbane City QLD 4000, Australia",12.25,4.813,23.573877551020406
21,,BAHRS SCRUB,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bahrs Scrub QLD 4207, Australia","Brisbane City QLD 4000, Australia",34.983333333333334,36.282,62.227346355407334
22,,BALD HILLS,QLD,4036,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bald Hills QLD 4036, Australia","Brisbane City QLD 4000, Australia",30.583333333333332,22.183,43.51978201634878
23,,BALMORAL,QLD,4171,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Balmoral QLD 4171, Australia","Brisbane City QLD 4000, Australia",19.5,8.803,27.08615384615385
24,,BANKSIA BEACH,QLD,4507,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Banksia Beach QLD 4507, Australia","Brisbane City QLD 4000, Australia",67.93333333333334,71.608,63.24553483807655
25,,BANNOCKBURN,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bannockburn QLD 4207, Australia","Brisbane City QLD 4000, Australia",35.7,43.634,73.3344537815126
26,,BANYO,QLD,4014,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Banyo QLD 4014, Australia","Brisbane City QLD 4000, Australia",21.933333333333334,17.97,49.158054711246194
27,,BARDON,QLD,4065,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bardon QLD 4065, Australia","Brisbane City QLD 4000, Australia",15.25,6.376,25.085901639344264
28,,BEACHMERE,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Beachmere QLD 4510, Australia","Brisbane City QLD 4000, Australia",52.666666666666664,57.342,65.32632911392405
29,,BEENLEIGH,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Beenleigh QLD 4207, Australia","Brisbane City QLD 4000, Australia",27.366666666666667,34.375,75.36540803897685
30,,BEERBURRUM,QLD,4517,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Beerburrum QLD 4517, Australia","Brisbane City QLD 4000, Australia",63.38333333333333,71.25,67.44675256376546
31,,BEERWAH,QLD,4519,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Beerwah QLD 4519, Australia","Brisbane City QLD 4000, Australia",64.75,75.164,69.65003861003862
32,,BELIVAH,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Belivah QLD 4207, Australia","Brisbane City QLD 4000, Australia",35.25,42.826,72.89531914893617
33,,BELLARA,QLD,4507,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bellara QLD 4507, Australia","Brisbane City QLD 4000, Australia",62.983333333333334,67.965,64.74569992061392
34,,BELLBOWRIE,QLD,4070,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bellbowrie QLD 4070, Australia","Brisbane City QLD 4000, Australia",34.15,25.394,44.61610541727672
35,,BELLMERE,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Bellmere QLD 4510, Australia","Brisbane City QLD 4000, Australia",53.0,51.057,57.80037735849057
